index,Company,TypeName,Ram,Weight,Price,TouchScreen,IPS,PPI,Cpu brand,HDD,SSD,Gpu brand,OS
205,Lenovo,Gaming,16,0.8754687373538999,74485.44,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
206,Dell,Notebook,6,0.8329091229351039,23389.92,1,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
207,Dell,Ultrabook,8,0.1906203596086497,103842.72,1,1,331.2642361026012,Intel Core i7,0,256,Intel,Windows
208,Dell,Ultrabook,8,,77202.72,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
210,Acer,Notebook,8,0.8754687373538999,41505.12,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
211,Asus,Gaming,16,1.0647107369924282,74964.96,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
212,HP,Notebook,4,0.7419373447293773,18594.72,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
213,Lenovo,Notebook,8,0.7884573603642703,29250.72,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others/No OS/Linux
214,Huawei,Ultrabook,8,0.04879016416943204,79866.72,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
215,Dell,Ultrabook,8,0.3364722366212129,49650.5664,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
216,Lenovo,Notebook,8,1.0296194171811581,31381.92,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
217,HP,Notebook,8,0.4885800148186709,54931.68,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
218,Dell,Ultrabook,8,0.47000362924573563,61218.72,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
219,Dell,2 in 1 Convertible,16,0.4824261492442928,68145.12,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
220,Dell,Notebook,8,0.7884573603642703,36089.208,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others/No OS/Linux
221,Lenovo,2 in 1 Convertible,8,0.5538851132264376,47898.72,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
222,Toshiba,Ultrabook,8,0.1823215567939546,72620.64,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
223,HP,Notebook,8,0.7419373447293773,42304.32,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
224,Dell,Gaming,16,1.4861396960896067,130873.7952,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
225,Acer,Notebook,8,0.7884573603642703,44328.96,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
226,Dell,Notebook,16,0.8329091229351039,45768.0528,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
227,Asus,Notebook,8,0.6931471805599453,40972.32,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
228,Asus,Notebook,8,0.9895411936137477,47472.48,0,0,127.33567457123111,Intel Core i5,500,256,Nvidia,Windows
229,HP,Notebook,8,0.6418538861723947,67612.32,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
230,Asus,Notebook,4,0.8628899551470398,21258.1872,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
231,HP,Notebook,4,0.7419373447293773,17582.4,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
232,Lenovo,Gaming,16,1.1631508098056809,79866.72,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
233,Dell,Notebook,8,0.47000362924573563,45767.52,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
234,Acer,2 in 1 Convertible,8,0.47000362924573563,36709.92,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
235,Dell,Notebook,16,0.8586616190375187,47898.72,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others/No OS/Linux
236,Acer,Notebook,4,0.7419373447293773,20779.2,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others/No OS/Linux
237,Asus,Notebook,4,0.7884573603642703,30636.0,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows
238,Asus,Gaming,32,1.547562508716013,207259.2,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,Windows
239,Acer,Gaming,8,0.9162907318741551,45074.88,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
240,Lenovo,Notebook,8,1.9740810260220096,31381.92,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
241,Asus,Notebook,8,0.7419373447293773,61005.6,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows
242,Asus,Notebook,8,0.9895411936137477,47365.92,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Others/No OS/Linux
243,Dell,Gaming,8,0.9400072584914712,46833.12,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
244,Lenovo,2 in 1 Convertible,8,0.3220834991691132,57489.12,1,1,158.48253022174808,Intel Core i7,0,256,Intel,Windows
245,Dell,Notebook,8,0.7884573603642703,52480.8,0,0,141.21199808219862,Intel Core i7,2000,128,AMD,Windows
246,HP,Notebook,8,0.712949807856125,29783.52,1,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
247,Asus,Gaming,16,1.2809338454620642,159786.72,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
248,HP,Notebook,4,0.3987761199573678,35964.0,0,1,165.6321180513006,Intel Core i5,500,0,Intel,Windows
249,Apple,Ultrabook,8,0.3148107398400336,108691.2,0,1,226.98300468106115,Intel Core i5,0,512,Intel,Mac
